** comment line **
ProbeName,t48h_1,t96h_1,t24h_1
A_51_P399985,14.4471657447932,14.6688432991993,14.1808810659394
A_55_P2508138,6.38812860484125,6.43438826007475,6.34620866225591
A_55_P2805880,6.23769798834935,6.27058611474412,6.13770459053412
A_55_P2419483,7.69304889987113,8.3496365485462,7.89535684573992
A_55_P2739683,11.6057882124563,11.5214510864327,11.1314490150253
A_51_P211903,10.7296879600837,10.9330681050131,10.6411295235161
A_66_P121325,7.13319064676002,6.81501056812384,6.94029722649618
A_51_P226429,8.93229621309565,9.29979918408198,9.01484220541378
** another comment line
A_55_P2841743,6.2391338073494,6.44448361506489,6.32432276443415
A_55_P2737159,8.59600422063412,8.97316224855298,9.80087341157022
A_55_P2728466,10.4188706208339,10.8526382002018,11.3377143704353
A_55_P2101526,6.95112888286699,7.11931749046589,7.58568935082788
A_52_P1132414,7.58665241029091,7.65372161284924,7.87359615041979
A_66_P135936,17.6693001447184,17.5185488922584,17.503246340009
A_55_P2805396,8.09356827803571,8.07650557498593,7.96623117196905
A_55_P2717104,7.20757578112578,7.06743200366186,7.07201464190213
A_55_P2909714,14.4986917804374,14.8583962629756,13.1771734044808
A_55_P2744310,11.0099074090797,11.5262588034587,11.2994606142881
A_52_P83363,7.35190836122884,7.87549229293218,7.49557503250676
A_55_P2091691,13.1657369954266,13.2685142947914,13.5758398121502
A_66_P106200,6.75466318836605,6.68823239563475,6.64944520708093
A_66_P137157,14.0206549762744,14.4114007326025,14.6145059555147
A_51_P389543,6.76601570268406,6.86390135653608,6.60553783918548
A_55_P2084656,17.631973587512,16.7488857621632,17.4819502845987
A_55_P2021266,9.41475817031776,9.92859533199408,8.36580208594216
A_52_P433119,6.47115687555091,6.51175809490274,6.54677348695948
A_55_P1994204,13.3721328959636,13.6275536614909,13.167258180545
A_55_P2249897,9.686022339955,9.23572685137697,9.0660522039043
A_52_P457839,6.35735772307369,6.40373274749704,6.31996571733292
A_55_P2064015,6.36965164136169,6.31297778243729,6.21170956054933
A_30_P01029704,6.72746485738682,6.5152011778369,6.4916330013013
A_65_P20288,6.42406251244337,6.59935765845894,7.89231928174349
A_52_P78022,6.32959305685643,6.31780440271156,6.27325087087264
A_52_P532355,6.29879780518381,6.30218029967484,6.30958313475252
A_30_P01023527,6.66459197534064,6.64151085683023,6.75212255807918
A_52_P198885,6.27995042529224,6.32202062688701,6.28600632854575
A_65_P09879,6.6075086394739,6.75116357597908,6.70044498923386
A_55_P2540555,6.24505026358214,6.26649465539819,6.24195514007834
A_66_P125558,6.59109609500695,6.52384492556669,6.55388700492836
A_55_P2030183,13.4815287430139,13.1960700670528,14.6083272510176
A_52_P222685,12.9983075795575,13.0443739442907,12.5413620163492
A_55_P2152305,15.395654875937,15.4289183439362,15.5465898889272
A_55_P1957942,6.15098764838205,6.15864476779081,6.17153945977675
A_55_P2905295,12.7573614673046,12.9475164078366,12.6411825153705
A_55_P1973563,7.20839782171349,6.47172480010549,7.25721889234881
A_55_P2168218,6.37493293516954,6.31490283612054,6.16647240405429
A_66_P116510,6.18829294341715,6.31297778243729,6.24411766133613
A_51_P290601,11.7220858115687,12.4251214122023,12.5496895338392
A_52_P100381,7.05977733337665,7.25101902951358,7.21855647923108
A_51_P187579,11.4304762394996,11.1997671421854,10.9450145998932
A_55_P2123841,6.30029191330534,6.30057966972101,6.21003354878466
A_51_P359603,13.6234510329518,13.1478540721551,12.4416910983813
A_55_P2081571,14.2580009957776,14.4536396651896,14.2755036842373
A_55_P1961894,13.7671259478135,14.097789584952,13.3629551008608
A_66_P113176,6.92964727081983,6.79850727382869,6.67491691169896
A_52_P641477,7.79498880268059,8.06515043866489,7.69992184809769
A_52_P152219,7.16643789003646,7.2136404828843,7.30048314045381
A_65_P12392,10.3717579232675,9.55119794655778,10.0988836879794
A_55_P2167930,6.25456988335296,6.198674209428,6.17995507914756
A_55_P2119145,6.55190297489174,6.59460447408009,6.68659877809781
A_66_P122652,12.7539412785663,12.5376664561222,12.4146433141557
A_55_P2035394,6.39179732765218,6.20617604844727,6.36136570430873
A_66_P126719,9.184392813292,9.07263595805914,9.77483713035149
A_51_P228706,6.66138648142037,6.40845719479446,6.49765788188198
A_55_P2000894,16.4109712230451,16.1188517584413,16.4259120365428
A_55_P2008492,6.19889153926475,6.21581405084144,6.16369845122594
